DATE,STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,TMAX,TMIN
1949-02-01,USC00065664,"NORTH KENT, CT US",41.76667,-73.43333,139.9,1.1,-5.0
1949-02-02,USC00065664,"NORTH KENT, CT US",41.76667,-73.43333,139.9,-1.7,-7.2
1949-02-03,USC00065664,"NORTH KENT, CT US",41.76667,-73.43333,139.9,-2.2,-18.9
1949-02-04,USC00065664,"NORTH KENT, CT US",41.76667,-73.43333,139.9,2.2,-6.7
1949-02-05,USC00065664,"NORTH KENT, CT US",41.76667,-73.43333,139.9,1.7,-3.9
1949-02-06,USC00065664,"NORTH KENT, CT US",41.76667,-73.43333,139.9,-0.6,-16.1
1949-02-07,USC00065664,"NORTH KENT, CT US",41.76667,-73.43333,139.9,6.7,-7.8
1949-02-08,USC00065664,"NORTH KENT, CT US",41.76667,-73.43333,139.9,5.6,-8.9
1949-02-09,USC00065664,"NORTH KENT, CT US",41.76667,-73.43333,139.9,11.1,-5.0
1949-02-10,USC00065664,"NORTH KENT, CT US",41.76667,-73.43333,139.9,3.3,-5.6
1949-02-11,USC00065664,"NORTH KENT, CT US",41.76667,-73.43333,139.9,1.1,-7.2
1949-02-12,USC00065664,"NORTH KENT, CT US",41.76667,-73.43333,139.9,0.0,-15.0
1949-02-13,USC00065664,"NORTH KENT, CT US",41.76667,-73.43333,139.9,11.1,-1.1
1949-02-14,USC00065664,"NORTH KENT, CT US",41.76667,-73.43333,139.9,12.2,1.7
1949-02-15,USC00065664,"NORTH KENT, CT US",41.76667,-73.43333,139.9,15.6,4.4
1949-02-16,USC00065664,"NORTH KENT, CT US",41.76667,-73.43333,139.9,13.3,2.2
1949-02-17,USC00065664,"NORTH KENT, CT US",41.76667,-73.43333,139.9,4.4,-3.3
1949-02-18,USC00065664,"NORTH KENT, CT US",41.76667,-73.43333,139.9,5.0,-9.4
1949-02-19,USC00065664,"NORTH KENT, CT US",41.76667,-73.43333,139.9,12.8,-0.6
1949-02-20,USC00065664,"NORTH KENT, CT US",41.76667,-73.43333,139.9,13.3,5.0
1949-02-21,USC00065664,"NORTH KENT, CT US",41.76667,-73.43333,139.9,7.8,-6.7
1949-02-22,USC00065664,"NORTH KENT, CT US",41.76667,-73.43333,139.9,2.8,-2.2
1949-02-23,USC00065664,"NORTH KENT, CT US",41.76667,-73.43333,139.9,7.2,1.1
1949-02-24,USC00065664,"NORTH KENT, CT US",41.76667,-73.43333,139.9,11.1,-3.3
1949-02-25,USC00065664,"NORTH KENT, CT US",41.76667,-73.43333,139.9,6.1,2.2
1949-02-26,USC00065664,"NORTH KENT, CT US",41.76667,-73.43333,139.9,5.6,-3.9
1949-02-27,USC00065664,"NORTH KENT, CT US",41.76667,-73.43333,139.9,1.7,-10.0
1949-02-28,USC00065664,"NORTH KENT, CT US",41.76667,-73.43333,139.9,1.1,-5.6
1949-03-01,USC00065664,"NORTH KENT, CT US",41.76667,-73.43333,139.9,2.2,-6.7
1949-03-02,USC00065664,"NORTH KENT, CT US",41.76667,-73.43333,139.9,0.6,-8.3
1949-03-03,USC00065664,"NORTH KENT, CT US",41.76667,-73.43333,139.9,3.3,-6.7
1949-03-04,USC00065664,"NORTH KENT, CT US",41.76667,-73.43333,139.9,3.3,-13.9
1949-03-05,USC00065664,"NORTH KENT, CT US",41.76667,-73.43333,139.9,13.3,-1.7
1949-03-06,USC00065664,"NORTH KENT, CT US",41.76667,-73.43333,139.9,10.0,0.6
1949-03-07,USC00065664,"NORTH KENT, CT US",41.76667,-73.43333,139.9,3.3,-3.3
1949-03-08,USC00065664,"NORTH KENT, CT US",41.76667,-73.43333,139.9,10.0,-12.2
1949-03-09,USC00065664,"NORTH KENT, CT US",41.76667,-73.43333,139.9,16.1,-6.7
1949-03-10,USC00065664,"NORTH KENT, CT US",41.76667,-73.43333,139.9,7.8,1.1
1949-03-11,USC00065664,"NORTH KENT, CT US",41.76667,-73.43333,139.9,5.0,0.0
1949-03-12,USC00065664,"NORTH KENT, CT US",41.76667,-73.43333,139.9,1.1,-3.9
1949-03-13,USC00065664,"NORTH KENT, CT US",41.76667,-73.43333,139.9,4.4,-6.7
1949-03-14,USC00065664,"NORTH KENT, CT US",41.76667,-73.43333,139.9,8.3,-9.4
1949-03-15,USC00065664,"NORTH KENT, CT US",41.76667,-73.43333,139.9,4.4,-3.9
1949-03-16,USC00065664,"NORTH KENT, CT US",41.76667,-73.43333,139.9,2.8,-7.8
1949-03-17,USC00065664,"NORTH KENT, CT US",41.76667,-73.43333,139.9,5.6,-3.9
1949-03-18,USC00065664,"NORTH KENT, CT US",41.76667,-73.43333,139.9,1.7,-7.2
1949-03-19,USC00065664,"NORTH KENT, CT US",41.76667,-73.43333,139.9,-2.2,-14.4
1949-03-20,USC00065664,"NORTH KENT, CT US",41.76667,-73.43333,139.9,0.6,-18.3
1949-03-21,USC00065664,"NORTH KENT, CT US",41.76667,-73.43333,139.9,12.2,-9.4
1949-03-22,USC00065664,"NORTH KENT, CT US",41.76667,-73.43333,139.9,17.8,2.8
1949-03-23,USC00065664,"NORTH KENT, CT US",41.76667,-73.43333,139.9,20.0,10.6
1949-03-24,USC00065664,"NORTH KENT, CT US",41.76667,-73.43333,139.9,16.7,1.1
1949-03-25,USC00065664,"NORTH KENT, CT US",41.76667,-73.43333,139.9,11.1,-1.7
1949-03-26,USC00065664,"NORTH KENT, CT US",41.76667,-73.43333,139.9,24.4,4.4
1949-03-27,USC00065664,"NORTH KENT, CT US",41.76667,-73.43333,139.9,25.6,14.4
1949-03-28,USC00065664,"NORTH KENT, CT US",41.76667,-73.43333,139.9,22.2,14.4
1949-03-29,USC00065664,"NORTH KENT, CT US",41.76667,-73.43333,139.9,19.4,4.4
1949-03-30,USC00065664,"NORTH KENT, CT US",41.76667,-73.43333,139.9,16.7,5.6
1949-03-31,USC00065664,"NORTH KENT, CT US",41.76667,-73.43333,139.9,10.0,3.3
1949-04-01,USC00065664,"NORTH KENT, CT US",41.76667,-73.43333,139.9,12.8,1.7
1949-04-02,USC00065664,"NORTH KENT, CT US",41.76667,-73.43333,139.9,16.1,-3.3
1949-04-03,USC00065664,"NORTH KENT, CT US",41.76667,-73.43333,139.9,13.9,-1.1
1949-04-04,USC00065664,"NORTH KENT, CT US",41.76667,-73.43333,139.9,12.8,3.9
1949-04-05,USC00065664,"NORTH KENT, CT US",41.76667,-73.43333,139.9,16.1,-4.4
1949-04-06,USC00065664,"NORTH KENT, CT US",41.76667,-73.43333,139.9,10.6,3.9
1949-04-07,USC00065664,"NORTH KENT, CT US",41.76667,-73.43333,139.9,15.0,5.6
1949-04-08,USC00065664,"NORTH KENT, CT US",41.76667,-73.43333,139.9,13.3,4.4
1949-04-09,USC00065664,"NORTH KENT, CT US",41.76667,-73.43333,139.9,10.0,2.8
1949-04-10,USC00065664,"NORTH KENT, CT US",41.76667,-73.43333,139.9,15.0,-0.6
1949-04-11,USC00065664,"NORTH KENT, CT US",41.76667,-73.43333,139.9,18.3,-3.3
1949-04-12,USC00065664,"NORTH KENT, CT US",41.76667,-73.43333,139.9,21.1,-1.7
1949-04-13,USC00065664,"NORTH KENT, CT US",41.76667,-73.43333,139.9,21.7,3.9
1949-04-14,USC00065664,"NORTH KENT, CT US",41.76667,-73.43333,139.9,25.0,11.7
