DATE,STATION,LATITUDE,LONGITUDE,PRCP
2012-01-17,US1VTCH0020,44.476605,-73.22098,0.0
2012-01-18,US1VTCH0020,44.476605,-73.22098,3.6
2012-01-19,US1VTCH0020,44.476605,-73.22098,0.0
2012-01-24,US1VTCH0020,44.476605,-73.22098,
2012-01-27,US1VTCH0020,44.476605,-73.22098,18.0
2012-01-29,US1VTCH0020,44.476605,-73.22098,8.6
2012-01-31,US1VTCH0020,44.476605,-73.22098,1.5
2012-02-01,US1VTCH0020,44.476605,-73.22098,0.5
2012-02-02,US1VTCH0020,44.476605,-73.22098,0.0
2012-02-03,US1VTCH0020,44.476605,-73.22098,0.0
2012-02-04,US1VTCH0020,44.476605,-73.22098,0.8
2012-02-05,US1VTCH0020,44.476605,-73.22098,0.0
2012-02-06,US1VTCH0020,44.476605,-73.22098,0.0
2012-02-07,US1VTCH0020,44.476605,-73.22098,0.0
2012-02-08,US1VTCH0020,44.476605,-73.22098,0.0
2012-02-09,US1VTCH0020,44.476605,-73.22098,0.0
2012-02-11,US1VTCH0020,44.476605,-73.22098,0.5
2012-02-13,US1VTCH0020,44.476605,-73.22098,0.0
2012-02-14,US1VTCH0020,44.476605,-73.22098,0.0
2012-02-15,US1VTCH0020,44.476605,-73.22098,0.5
2012-02-16,US1VTCH0020,44.476605,-73.22098,0.0
2012-02-17,US1VTCH0020,44.476605,-73.22098,1.3
2012-02-18,US1VTCH0020,44.476605,-73.22098,0.0
2012-02-19,US1VTCH0020,44.476605,-73.22098,0.0
2012-02-20,US1VTCH0020,44.476605,-73.22098,0.0
2012-02-21,US1VTCH0020,44.476605,-73.22098,0.0
2012-02-22,US1VTCH0020,44.476605,-73.22098,0.0
2012-02-23,US1VTCH0020,44.476605,-73.22098,3.6
2012-02-24,US1VTCH0020,44.476605,-73.22098,0.0
2012-02-25,US1VTCH0020,44.476605,-73.22098,9.9
2012-02-26,US1VTCH0020,44.476605,-73.22098,0.0
2012-02-27,US1VTCH0020,44.476605,-73.22098,0.0
2012-02-28,US1VTCH0020,44.476605,-73.22098,0.0
2012-03-02,US1VTCH0020,44.476605,-73.22098,
2012-03-03,US1VTCH0020,44.476605,-73.22098,0.5
2012-03-04,US1VTCH0020,44.476605,-73.22098,0.3
2012-03-05,US1VTCH0020,44.476605,-73.22098,0.5
2012-03-06,US1VTCH0020,44.476605,-73.22098,0.0
2012-03-07,US1VTCH0020,44.476605,-73.22098,0.0
2012-03-08,US1VTCH0020,44.476605,-73.22098,0.0
2012-03-09,US1VTCH0020,44.476605,-73.22098,0.0
2012-03-10,US1VTCH0020,44.476605,-73.22098,0.0
2012-03-11,US1VTCH0020,44.476605,-73.22098,0.0
2012-03-12,US1VTCH0020,44.476605,-73.22098,0.0
2012-03-14,US1VTCH0020,44.476605,-73.22098,1.8
2012-03-15,US1VTCH0020,44.476605,-73.22098,0.0
