DATE,STATION,LATITUDE,LONGITUDE,PRCP
2008-09-07,US1NYSR0008,42.9455,-73.7869,0.0
2008-09-08,US1NYSR0008,42.9455,-73.7869,0.0
2008-09-19,US1NYSR0008,42.9455,-73.7869,0.0
2008-09-20,US1NYSR0008,42.9455,-73.7869,0.0
2008-09-21,US1NYSR0008,42.9455,-73.7869,0.0
2008-09-22,US1NYSR0008,42.9455,-73.7869,0.0
2008-09-24,US1NYSR0008,42.9455,-73.7869,0.0
2008-09-25,US1NYSR0008,42.9455,-73.7869,0.0
2008-09-26,US1NYSR0008,42.9455,-73.7869,1.5
2008-09-27,US1NYSR0008,42.9455,-73.7869,10.2
2008-09-28,US1NYSR0008,42.9455,-73.7869,0.5
2008-09-29,US1NYSR0008,42.9455,-73.7869,3.8
2008-09-30,US1NYSR0008,42.9455,-73.7869,0.3
2008-10-01,US1NYSR0008,42.9455,-73.7869,7.6
2008-10-02,US1NYSR0008,42.9455,-73.7869,1.0
2008-10-03,US1NYSR0008,42.9455,-73.7869,0.5
2008-10-04,US1NYSR0008,42.9455,-73.7869,0.8
2008-10-05,US1NYSR0008,42.9455,-73.7869,0.0
2008-10-06,US1NYSR0008,42.9455,-73.7869,0.0
2008-10-07,US1NYSR0008,42.9455,-73.7869,2.3
2008-10-08,US1NYSR0008,42.9455,-73.7869,0.0
2008-10-09,US1NYSR0008,42.9455,-73.7869,9.4
2008-10-10,US1NYSR0008,42.9455,-73.7869,0.0
2008-10-11,US1NYSR0008,42.9455,-73.7869,0.0
2008-10-12,US1NYSR0008,42.9455,-73.7869,0.0
2008-10-13,US1NYSR0008,42.9455,-73.7869,0.0
2008-10-14,US1NYSR0008,42.9455,-73.7869,0.0
2008-10-15,US1NYSR0008,42.9455,-73.7869,0.0
2008-10-16,US1NYSR0008,42.9455,-73.7869,3.6
2008-10-20,US1NYSR0008,42.9455,-73.7869,0.0
2008-10-21,US1NYSR0008,42.9455,-73.7869,0.0
2008-10-22,US1NYSR0008,42.9455,-73.7869,2.5
2008-10-23,US1NYSR0008,42.9455,-73.7869,0.0
2008-10-24,US1NYSR0008,42.9455,-73.7869,0.0
2008-10-25,US1NYSR0008,42.9455,-73.7869,0.0
2008-10-26,US1NYSR0008,42.9455,-73.7869,47.8
2008-10-27,US1NYSR0008,42.9455,-73.7869,0.0
2008-10-28,US1NYSR0008,42.9455,-73.7869,8.9
2008-10-29,US1NYSR0008,42.9455,-73.7869,40.6
2008-10-30,US1NYSR0008,42.9455,-73.7869,0.0
2008-10-31,US1NYSR0008,42.9455,-73.7869,0.0
2008-11-01,US1NYSR0008,42.9455,-73.7869,0.0
2008-11-02,US1NYSR0008,42.9455,-73.7869,0.0
2008-11-03,US1NYSR0008,42.9455,-73.7869,0.0
2008-11-04,US1NYSR0008,42.9455,-73.7869,0.0
2008-11-05,US1NYSR0008,42.9455,-73.7869,0.0
2008-11-06,US1NYSR0008,42.9455,-73.7869,0.0
2008-11-07,US1NYSR0008,42.9455,-73.7869,3.6
2008-11-08,US1NYSR0008,42.9455,-73.7869,0.0
2008-11-09,US1NYSR0008,42.9455,-73.7869,1.8
2008-11-10,US1NYSR0008,42.9455,-73.7869,0.3
2008-11-11,US1NYSR0008,42.9455,-73.7869,0.0
2008-11-12,US1NYSR0008,42.9455,-73.7869,0.0
2008-11-13,US1NYSR0008,42.9455,-73.7869,0.0
2008-11-14,US1NYSR0008,42.9455,-73.7869,6.4
2008-11-15,US1NYSR0008,42.9455,-73.7869,0.0
2008-11-16,US1NYSR0008,42.9455,-73.7869,15.2
2008-11-17,US1NYSR0008,42.9455,-73.7869,0.0
2008-11-18,US1NYSR0008,42.9455,-73.7869,0.0
2008-11-19,US1NYSR0008,42.9455,-73.7869,0.0
2008-11-20,US1NYSR0008,42.9455,-73.7869,0.0
2008-11-21,US1NYSR0008,42.9455,-73.7869,0.0
2008-11-22,US1NYSR0008,42.9455,-73.7869,0.0
