DATE,STATION,LATITUDE,LONGITUDE,PRCP
1953-07-01,USC00301291,42.93333,-75.11667,0.0
1953-07-02,USC00301291,42.93333,-75.11667,0.5
1953-07-03,USC00301291,42.93333,-75.11667,6.6
1953-07-04,USC00301291,42.93333,-75.11667,0.0
1953-07-05,USC00301291,42.93333,-75.11667,0.0
1953-07-06,USC00301291,42.93333,-75.11667,0.0
1953-07-07,USC00301291,42.93333,-75.11667,0.3
1953-07-08,USC00301291,42.93333,-75.11667,0.0
1953-07-09,USC00301291,42.93333,-75.11667,1.3
1953-07-10,USC00301291,42.93333,-75.11667,0.0
1953-07-11,USC00301291,42.93333,-75.11667,0.0
1953-07-12,USC00301291,42.93333,-75.11667,0.0
1953-07-13,USC00301291,42.93333,-75.11667,0.0
1953-07-14,USC00301291,42.93333,-75.11667,0.0
1953-07-15,USC00301291,42.93333,-75.11667,0.0
1953-07-16,USC00301291,42.93333,-75.11667,0.0
1953-07-17,USC00301291,42.93333,-75.11667,0.0
1953-07-18,USC00301291,42.93333,-75.11667,0.0
1953-07-19,USC00301291,42.93333,-75.11667,7.6
1953-07-20,USC00301291,42.93333,-75.11667,5.6
1953-07-21,USC00301291,42.93333,-75.11667,0.0
1953-07-22,USC00301291,42.93333,-75.11667,0.0
1953-07-23,USC00301291,42.93333,-75.11667,2.5
1953-07-24,USC00301291,42.93333,-75.11667,4.6
1953-07-25,USC00301291,42.93333,-75.11667,0.0
1953-07-26,USC00301291,42.93333,-75.11667,0.0
1953-07-27,USC00301291,42.93333,-75.11667,0.3
1953-07-28,USC00301291,42.93333,-75.11667,1.3
1953-07-29,USC00301291,42.93333,-75.11667,0.0
1953-07-30,USC00301291,42.93333,-75.11667,1.0
1953-07-31,USC00301291,42.93333,-75.11667,0.0
1953-08-01,USC00301291,42.93333,-75.11667,0.0
1953-08-02,USC00301291,42.93333,-75.11667,2.3
1953-08-03,USC00301291,42.93333,-75.11667,0.5
1953-08-04,USC00301291,42.93333,-75.11667,0.0
1953-08-05,USC00301291,42.93333,-75.11667,33.5
1953-08-06,USC00301291,42.93333,-75.11667,0.0
1953-08-07,USC00301291,42.93333,-75.11667,0.0
1953-08-08,USC00301291,42.93333,-75.11667,0.0
1953-08-09,USC00301291,42.93333,-75.11667,17.5
1953-08-10,USC00301291,42.93333,-75.11667,6.6
1953-08-11,USC00301291,42.93333,-75.11667,2.0
1953-08-12,USC00301291,42.93333,-75.11667,0.0
1953-08-13,USC00301291,42.93333,-75.11667,0.0
1953-08-14,USC00301291,42.93333,-75.11667,0.0
1953-08-15,USC00301291,42.93333,-75.11667,0.0
1953-08-16,USC00301291,42.93333,-75.11667,0.0
1953-08-17,USC00301291,42.93333,-75.11667,0.3
