,agency_cd,site_no,datetime,Data codes,Q_m3_s_mean
0,USGS,01360640,1990-10-01,A:e,0.03398021592
1,USGS,01360640,1990-10-02,A:e,0.03681190058
2,USGS,01360640,1990-10-03,A:e,0.03398021592
3,USGS,01360640,1990-10-04,A,0.0991089631
4,USGS,01360640,1990-10-05,A:e,0.3681190058
5,USGS,01360640,1990-10-06,A:e,0.1982179262
6,USGS,01360640,1990-10-07,A:e,0.0991089631
7,USGS,01360640,1990-10-08,A:e,0.0707921165
8,USGS,01360640,1990-10-09,A:e,0.05946537786
9,USGS,01360640,1990-10-10,A:e,0.05097032388
10,USGS,01360640,1990-10-11,A:e,0.04813863922
11,USGS,01360640,1990-10-12,A,0.04813863922
12,USGS,01360640,1990-10-13,A,0.16423771028
13,USGS,01360640,1990-10-14,A,0.5097032388
14,USGS,01360640,1990-10-15,A,0.3114853126
15,USGS,01360640,1990-10-16,A,0.18122781824
16,USGS,01360640,1990-10-17,A:e,0.1132673864
17,USGS,01360640,1990-10-18,A:e,0.0991089631
18,USGS,01360640,1990-10-19,A,0.3964358524
19,USGS,01360640,1990-10-20,A,0.26051498872
20,USGS,01360640,1990-10-21,A:e,0.15291097164
21,USGS,01360640,1990-10-22,A:e,0.1274258097
22,USGS,01360640,1990-10-23,A:e,0.14724760232
23,USGS,01360640,1990-10-24,A,3.6811900580000003
24,USGS,01360640,1990-10-25,A:e,1.41584233
25,USGS,01360640,1990-10-26,A:e,0.7928717048
26,USGS,01360640,1990-10-27,A:e,0.4813863922
27,USGS,01360640,1990-10-28,A:e,0.3398021592
28,USGS,01360640,1990-10-29,A:e,0.283168466
29,USGS,01360640,1990-10-30,A:e,0.2548516194
30,USGS,01360640,1990-10-31,A,0.23502982678000003
31,USGS,01360640,1990-11-01,A,0.23219814211999998
32,USGS,01360640,1990-11-02,A:e,0.22087140348
33,USGS,01360640,1990-11-03,A:e,0.27184172736
34,USGS,01360640,1990-11-04,A:e,0.19255455688
35,USGS,01360640,1990-11-05,A:e,0.2265347728
36,USGS,01360640,1990-11-06,A:e,0.27750509668
37,USGS,01360640,1990-11-07,A:e,0.27750509668
38,USGS,01360640,1990-11-08,A:e,0.24352488076
39,USGS,01360640,1990-11-09,A:e,0.22087140348
40,USGS,01360640,1990-11-10,A:e,1.982179262
41,USGS,01360640,1990-11-11,A:e,4.813863922
42,USGS,01360640,1990-11-12,A:e,2.265347728
43,USGS,01360640,1990-11-13,A:e,0.9344559378
44,USGS,01360640,1990-11-14,A:e,0.6512874718
45,USGS,01360640,1990-11-15,A:e,0.5097032388
46,USGS,01360640,1990-11-16,A:e,0.4530695456
47,USGS,01360640,1990-11-17,A:e,0.4813863922
48,USGS,01360640,1990-11-18,A:e,0.4530695456
49,USGS,01360640,1990-11-19,A:e,0.3681190058
50,USGS,01360640,1990-11-20,A:e,0.3398021592
51,USGS,01360640,1990-11-21,A:e,0.3114853126
52,USGS,01360640,1990-11-22,A:e,0.283168466
53,USGS,01360640,1990-11-23,A:e,0.3964358524
54,USGS,01360640,1990-11-24,A:e,0.3681190058
55,USGS,01360640,1990-11-25,A:e,0.3114853126
56,USGS,01360640,1990-11-26,A:e,0.27184172736
57,USGS,01360640,1990-11-27,A,0.25201993474
58,USGS,01360640,1990-11-28,A,0.25201993474
59,USGS,01360640,1990-11-29,A,0.23219814211999998
60,USGS,01360640,1990-11-30,A,0.21520803416
61,USGS,01360640,1990-12-01,A,0.19538624154
62,USGS,01360640,1990-12-02,A,0.18972287222
63,USGS,01360640,1990-12-03,A,0.1699010796
64,USGS,01360640,1990-12-04,A,1.2459412504
65,USGS,01360640,1990-12-05,A,1.1043570174
66,USGS,01360640,1990-12-06,A,0.6796043184
67,USGS,01360640,1990-12-07,A,0.5097032388
68,USGS,01360640,1990-12-08,A,0.424752699
69,USGS,01360640,1990-12-09,A,0.3681190058
70,USGS,01360640,1990-12-10,A,0.3398021592
71,USGS,01360640,1990-12-11,A,0.283168466
72,USGS,01360640,1990-12-12,A:e,0.26051498872
73,USGS,01360640,1990-12-13,A:e,0.24352488076
74,USGS,01360640,1990-12-14,A:e,0.22087140348
75,USGS,01360640,1990-12-15,A,0.20388129552
76,USGS,01360640,1990-12-16,A,0.23786151144
77,USGS,01360640,1990-12-17,A,0.27184172736
78,USGS,01360640,1990-12-18,A,0.7645548582
79,USGS,01360640,1990-12-19,A,1.6423771028
80,USGS,01360640,1990-12-20,A,0.8778222446
81,USGS,01360640,1990-12-21,A,0.8211885514
82,USGS,01360640,1990-12-22,A,1.132673864
83,USGS,01360640,1990-12-23,A,0.8211885514
84,USGS,01360640,1990-12-24,A,2.2936645746
85,USGS,01360640,1990-12-25,A:e,1.132673864
86,USGS,01360640,1990-12-26,A:e,0.707921165
87,USGS,01360640,1990-12-27,A:e,0.4813863922
88,USGS,01360640,1990-12-28,A:e,0.3681190058
89,USGS,01360640,1990-12-29,A:e,0.3681190058
90,USGS,01360640,1990-12-30,A:e,0.707921165
91,USGS,01360640,1990-12-31,A,1.3592086368
92,USGS,01360640,1991-01-01,A:e,0.991089631
93,USGS,01360640,1991-01-02,A:e,0.5380200854
94,USGS,01360640,1991-01-03,A:e,0.3964358524
95,USGS,01360640,1991-01-04,A:e,0.3114853126
96,USGS,01360640,1991-01-05,A:e,0.27184172736
97,USGS,01360640,1991-01-06,A:e,0.24352488076
98,USGS,01360640,1991-01-07,A:e,0.22087140348
99,USGS,01360640,1991-01-08,A:e,0.20388129552
100,USGS,01360640,1991-01-09,A:e,0.18689118756
101,USGS,01360640,1991-01-10,A:e,0.17556444892
102,USGS,01360640,1991-01-11,A:e,0.1699010796
103,USGS,01360640,1991-01-12,A:e,0.1699010796
104,USGS,01360640,1991-01-13,A:e,0.16423771028
105,USGS,01360640,1991-01-14,A:e,0.16423771028
106,USGS,01360640,1991-01-15,A:e,0.17556444892
107,USGS,01360640,1991-01-16,A:e,0.1982179262
108,USGS,01360640,1991-01-17,A,0.5946537786
109,USGS,01360640,1991-01-18,A:e,0.424752699
110,USGS,01360640,1991-01-19,A:e,0.3114853126
111,USGS,01360640,1991-01-20,A:e,0.24352488076
112,USGS,01360640,1991-01-21,A:e,0.18689118756
113,USGS,01360640,1991-01-22,A:e,0.14724760232
114,USGS,01360640,1991-01-23,A:e,0.1274258097
115,USGS,01360640,1991-01-24,A:e,0.1132673864
116,USGS,01360640,1991-01-25,A:e,0.10477233242
117,USGS,01360640,1991-01-26,A:e,0.0991089631
118,USGS,01360640,1991-01-27,A:e,0.09627727844
119,USGS,01360640,1991-01-28,A:e,0.09627727844
120,USGS,01360640,1991-01-29,A:e,0.0991089631
121,USGS,01360640,1991-01-30,A:e,0.14724760232
122,USGS,01360640,1991-01-31,A:e,0.26617835804
123,USGS,01360640,1991-02-01,A:e,0.1982179262
124,USGS,01360640,1991-02-02,A:e,0.1699010796
125,USGS,01360640,1991-02-03,A:e,0.18122781824
126,USGS,01360640,1991-02-04,A,0.2123763495
127,USGS,01360640,1991-02-05,A,0.2548516194
128,USGS,01360640,1991-02-06,A,0.3681190058
129,USGS,01360640,1991-02-07,A,1.41584233
130,USGS,01360640,1991-02-08,A,1.2459412504
131,USGS,01360640,1991-02-09,A,0.6796043184
132,USGS,01360640,1991-02-10,A:e,0.566336932
133,USGS,01360640,1991-02-11,A:e,0.424752699
134,USGS,01360640,1991-02-12,A:e,0.283168466
135,USGS,01360640,1991-02-13,A:e,0.2548516194
136,USGS,01360640,1991-02-14,A:e,0.2265347728
137,USGS,01360640,1991-02-15,A:e,0.20388129552
138,USGS,01360640,1991-02-16,A:e,0.19255455688
139,USGS,01360640,1991-02-17,A:e,0.18122781824
140,USGS,01360640,1991-02-18,A:e,0.17556444892
141,USGS,01360640,1991-02-19,A:e,0.283168466
142,USGS,01360640,1991-02-20,A,0.5946537786
143,USGS,01360640,1991-02-21,A:e,0.424752699
144,USGS,01360640,1991-02-22,A:e,0.3114853126
145,USGS,01360640,1991-02-23,A:e,0.2548516194
146,USGS,01360640,1991-02-24,A:e,0.2265347728
147,USGS,01360640,1991-02-25,A:e,0.20954466484
